R1,R2,C1,High,Low,Relative Closeness (High),Relative Closeness (Low)
1500,330000,2.2µF,0.5054048999999999,0.503118,0.01080979999999987,0.006235999999999908
33000,150000,3.9µF,0.4945940999999999,0.40540499999999996,0.010811800000000149,0.18919000000000008
15000,100000,6.2µF,0.494109,0.42966,0.01178199999999996,0.14068000000000003
33000,680000,1.0µF,0.4941089999999999,0.47123999999999994,0.011782000000000181,0.05752000000000013
2200,330000,2.2µF,0.50647212,0.503118,0.01294423999999994,0.006235999999999908
1500,220000,3.3µF,0.50654835,0.503118,0.013096699999999961,0.006235999999999908
4700,470000,1.5µF,0.49345065,0.488565,0.013098700000000019,0.022869999999999946
1500,150000,4.7µF,0.49345064999999994,0.4885649999999999,0.01309870000000013,0.022870000000000168
4700,100000,6.8µF,0.4933882799999999,0.47123999999999994,0.013223440000000197,0.05752000000000013
3300,470000,1.5µF,0.49199534999999994,0.488565,0.016009300000000115,0.022869999999999946
10000,68000,9.1µF,0.49189139999999987,0.42882839999999994,0.016217200000000265,0.14234320000000011
2200,220000,3.3µF,0.5081491799999999,0.503118,0.016298359999999734,0.006235999999999908
3300,330000,2.2µF,0.50814918,0.503118,0.016298359999999956,0.006235999999999908
1000,150000,4.7µF,0.49182209999999993,0.4885649999999999,0.016355800000000142,0.022870000000000168
15000,150000,4.3µF,0.4916834999999999,0.4469849999999999,0.01663300000000023,0.10603000000000018
2200,470000,1.5µF,0.49085189999999995,0.488565,0.018296200000000096,0.022869999999999946
680,150000,4.7µF,0.4907798279999999,0.4885649999999999,0.018440344000000164,0.022870000000000168
1500,470000,1.5µF,0.49012425000000004,0.488565,0.019751499999999922,0.022869999999999946
470,150000,4.7µF,0.4900958369999999,0.4885649999999999,0.019808326000000154,0.022870000000000168
4700,330000,2.2µF,0.5102836199999999,0.503118,0.020567239999999876,0.006235999999999908
330,150000,4.7µF,0.4896398429999999,0.4885649999999999,0.020720314000000184,0.022870000000000168
1000,470000,1.5µF,0.4896045,0.488565,0.020791000000000004,0.022869999999999946
3300,220000,3.3µF,0.51066477,0.503118,0.02132953999999998,0.006235999999999908
6800,150000,4.7µF,0.5107132799999999,0.4885649999999999,0.021426559999999872,0.022870000000000168
220,150000,4.7µF,0.48928156199999995,0.4885649999999999,0.021436876000000105,0.022870000000000168
680,470000,1.5µF,0.48927186,0.488565,0.021456279999999994,0.022869999999999946
150,150000,4.7µF,0.48905356499999997,0.4885649999999999,0.021892870000000064,0.022870000000000168
470,470000,1.5µF,0.48905356499999997,0.488565,0.021892870000000064,0.022869999999999946
330,470000,1.5µF,0.488908035,0.488565,0.022183929999999963,0.022869999999999946
100,150000,4.7µF,0.48889070999999995,0.4885649999999999,0.0222185800000001,0.022870000000000168
220,470000,1.5µF,0.48879368999999995,0.488565,0.022412620000000105,0.022869999999999946
68,150000,4.7µF,0.4887864828,0.4885649999999999,0.022427034400000045,0.022870000000000168
150,470000,1.5µF,0.4887209249999999,0.488565,0.022558150000000166,0.022869999999999946
47,150000,4.7µF,0.48871808369999997,0.4885649999999999,0.022563832600000056,0.022870000000000168
33,150000,4.7µF,0.48867248429999993,0.4885649999999999,0.022655031400000136,0.022870000000000168
100,470000,1.5µF,0.48866895,0.488565,0.02266210000000002,0.022869999999999946
22,150000,4.7µF,0.48863665619999996,0.4885649999999999,0.022726687600000073,0.022870000000000168
68,470000,1.5µF,0.48863568599999996,0.488565,0.022728628000000084,0.022869999999999946
47,470000,1.5µF,0.4886138565,0.488565,0.022772287000000002,0.022869999999999946
15,150000,4.7µF,0.48861385649999994,0.4885649999999999,0.022772287000000113,0.022870000000000168
33,470000,1.5µF,0.4885993034999999,0.488565,0.02280139300000017,0.022869999999999946
10,150000,4.7µF,0.48859757099999995,0.4885649999999999,0.022804858000000094,0.022870000000000168
22,470000,1.5µF,0.488587869,0.488565,0.022824261999999984,0.022869999999999946
15,470000,1.5µF,0.48858059249999997,0.488565,0.022838815000000068,0.022869999999999946
10,470000,1.5µF,0.488575395,0.488565,0.022849209999999953,0.022869999999999946
